"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2011","540.360","531.980","540.360","528.720","","1.57%"
"07/20/2011","531.995","529.170","533.045","528.460","","0.43%"
"07/19/2011","529.730","527.340","532.130","526.110","","0.34%"
"07/18/2011","527.920","527.750","528.960","523.940","","-0.33%"
"07/15/2011","529.675","528.870","531.475","526.970","","0.08%"
"07/14/2011","529.265","530.560","534.535","527.830","","-0.48%"
"07/13/2011","531.830","522.590","531.830","521.690","","1.67%"
"07/12/2011","523.090","525.210","526.340","517.430","","-0.37%"
"07/11/2011","525.050","531.640","532.460","523.000","","-1.65%"
"07/08/2011","533.870","536.950","537.790","531.230","","-0.69%"
"07/07/2011","537.555","535.420","538.005","531.790","","0.31%"
