"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2011","13.3030","13.2680","13.4010","13.2650","","-0.36%"
"05/26/2011","13.3515","13.1890","13.3705","13.1800","","0.83%"
"05/25/2011","13.2410","13.2280","13.2580","13.1380","","-0.36%"
"05/24/2011","13.2885","13.1520","13.2895","13.1300","","1.07%"
"05/23/2011","13.1475","13.3160","13.3405","13.0920","","-1.38%"
"05/20/2011","13.3315","13.4090","13.4725","13.3200","","-0.68%"
"05/19/2011","13.4225","13.3680","13.4375","13.3470","","0.17%"
"05/18/2011","13.4000","13.3200","13.4270","13.3200","","0.90%"
"05/17/2011","13.2800","13.3230","13.3680","13.2690","","-0.46%"
"05/16/2011","13.3415","13.3580","13.3755","13.2770","","0.04%"
"05/13/2011","13.3365","13.4120","13.5095","13.3250","","-0.76%"
"05/12/2011","13.4390","13.4500","13.4910","13.3520","","-0.17%"
"05/11/2011","13.4620","13.5350","13.6050","13.4460","","-0.65%"
"05/10/2011","13.5495","13.4320","13.5495","13.4120","","0.69%"
"05/09/2011","13.4560","13.4540","13.4940","13.4160","","0.07%"
"05/06/2011","13.4465","13.6060","13.6255","13.4350","","-1.28%"
"05/05/2011","13.6205","13.7100","13.7955","13.5900","","-0.71%"
"05/04/2011","13.7175","13.7090","13.8315","13.6760","","0.02%"
"05/03/2011","13.7145","13.6670","13.7575","13.6580","","0.22%"
"05/02/2011","13.6850","13.6910","13.7080","13.6590","","-0.16%"
"04/29/2011","13.7075","13.6160","13.7825","13.6040","","0.46%"
"04/28/2011","13.6445","13.5870","13.6625","13.5790","","0.27%"
"04/27/2011","13.6075","13.4960","13.6075","13.4880","","0.79%"
"04/26/2011","13.5010","13.4570","13.5190","13.3960","","0.26%"
"04/25/2011","13.4655","13.1380","13.4845","13.1270","","2.46%"
"04/22/2011","13.1425","13.1330","13.1915","13.1230","","-0.20%"
"04/21/2011","13.1685","13.1000","13.2295","13.0930","","0.48%"
"04/20/2011","13.1060","12.9940","13.1330","12.9880","","0.64%"
"04/19/2011","13.0230","12.9320","13.0230","12.9070","","0.22%"
"04/18/2011","12.9950","13.0720","13.0970","12.9570","","-0.71%"
"04/15/2011","13.0885","13.0370","13.1075","13.0210","","0.25%"
"04/14/2011","13.0560","13.0370","13.1000","12.9920","","0.13%"
"04/13/2011","13.0385","13.0860","13.1265","13.0230","","-0.31%"
"04/12/2011","13.0790","13.1220","13.1440","13.0570","","-0.38%"
"04/11/2011","13.1290","13.1530","13.1890","13.1040","","-1.82%"
