period,partner_region,X_region
2019-07-01,Other countries,621935388.4080001
2019-08-01,Other countries,641751830.5280001
2019-09-01,Other countries,673273423.218
2019-10-01,Other countries,690903783.098
2019-11-01,Other countries,698696025.5799999
2019-12-01,Other countries,711784895.89
2020-01-01,Other countries,713250294.02
2020-02-01,Other countries,693541599.27
2020-03-01,Other countries,678187014.61
2020-04-01,Other countries,657103969.2399999
2020-05-01,Other countries,676078662.0799999
2020-06-01,Other countries,702553647.28
2020-07-01,Other countries,702987476.8799999
2020-08-01,Other countries,719432935.8649999
2020-09-01,Other countries,731108084.905
2020-10-01,Other countries,732914721.315
2020-11-01,Other countries,713262913.0150001
2020-12-01,Other countries,716365697.655
2021-01-01,Other countries,706837249.715
2021-02-01,Other countries,718601111.7149999
2021-03-01,Other countries,738923576.2149999
2021-04-01,Other countries,758782982.395
2021-05-01,Other countries,746371063.4949999
2021-06-01,Other countries,736829795.0049999
2021-07-01,Other countries,734650318.1949999
2021-08-01,Other countries,712609690.33
2021-09-01,Other countries,672429914.21
2021-10-01,Other countries,674343514.49
2021-11-01,Other countries,707949166.82
2021-12-01,Other countries,732102061.26
2022-01-01,Other countries,754722967.7
2022-02-01,Other countries,767474314.1800001
2022-03-01,Other countries,762916961.1999999
2022-04-01,Other countries,748665125.77
2022-05-01,Other countries,742355190.06
2022-06-01,Other countries,796074536.67
2022-07-01,Other countries,797071959.8199999
2022-08-01,Other countries,796101656.1899999
2022-09-01,Other countries,796440860.0500001
2022-10-01,Other countries,777569264.4000001
2022-11-01,Other countries,754301661.5610001
2022-12-01,Other countries,719655290.2710001
2023-01-01,Other countries,695045222.901
2023-02-01,Other countries,665460749.0210001
2023-03-01,Other countries,675087791.4410001
2023-04-01,Other countries,697373240.901
